timestamp,equipment_id,runtime_hours,temperature_c,vibration_mm_s,simulated_condition
2026-09-01 08:00:00,Tractor_01,120.0,76.22,3.05,NORMAL
2026-09-01 08:10:00,Tractor_01,120.17,70.84,2.86,NORMAL
2026-09-01 08:20:00,Tractor_01,120.33,78.0,2.21,NORMAL
2026-09-01 08:30:00,Tractor_01,120.5,78.76,1.9,NORMAL
2026-09-01 08:40:00,Tractor_01,120.67,67.2,1.31,NORMAL
2026-09-01 08:50:00,Tractor_01,120.83,69.79,2.28,NORMAL
2026-09-01 09:00:00,Tractor_01,121.0,75.51,3.47,NORMAL
2026-09-01 09:10:00,Tractor_01,121.17,73.74,2.67,NORMAL
2026-09-01 09:20:00,Tractor_01,121.33,74.93,2.28,NORMAL
2026-09-01 09:30:00,Tractor_01,121.5,94.59,5.69,MAINTENANCE NEEDED
2026-09-01 09:40:00,Tractor_01,121.67,78.52,1.88,NORMAL
2026-09-01 09:50:00,Tractor_01,121.83,78.11,2.38,NORMAL
2026-09-01 10:00:00,Tractor_01,122.0,85.26,3.74,CHECK SOON
2026-09-01 10:10:00,Tractor_01,122.17,79.51,2.47,NORMAL
2026-09-01 10:20:00,Tractor_01,122.33,76.87,2.82,NORMAL
2026-09-01 10:30:00,Tractor_01,122.5,71.56,2.64,NORMAL
2026-09-01 10:40:00,Tractor_01,122.67,76.48,2.77,NORMAL
2026-09-01 10:50:00,Tractor_01,122.83,71.16,2.22,NORMAL
2026-09-01 11:00:00,Tractor_01,123.0,78.51,2.86,NORMAL
2026-09-01 11:10:00,Tractor_01,123.17,74.8,3.15,NORMAL
2026-09-01 11:20:00,Tractor_01,123.33,74.26,2.11,NORMAL
2026-09-01 11:30:00,Tractor_01,123.5,72.28,2.14,NORMAL
2026-09-01 11:40:00,Tractor_01,123.67,79.89,3.03,NORMAL
2026-09-01 11:50:00,Tractor_01,123.83,74.38,2.42,NORMAL
2026-09-01 12:00:00,Tractor_01,124.0,73.29,3.06,NORMAL
2026-09-01 12:10:00,Tractor_01,124.17,73.59,2.32,NORMAL
2026-09-01 12:20:00,Tractor_01,124.33,77.13,3.08,NORMAL
2026-09-01 12:30:00,Tractor_01,124.5,76.46,2.55,NORMAL
2026-09-01 12:40:00,Tractor_01,124.67,76.65,2.6,NORMAL
2026-09-01 12:50:00,Tractor_01,124.83,76.72,3.13,NORMAL
2026-09-01 13:00:00,Tractor_01,125.0,93.57,3.56,CHECK SOON
2026-09-01 13:10:00,Tractor_01,125.17,73.37,2.12,NORMAL
2026-09-01 13:20:00,Tractor_01,125.33,72.95,2.32,NORMAL
2026-09-01 13:30:00,Tractor_01,125.5,71.74,2.68,NORMAL
2026-09-01 13:40:00,Tractor_01,125.67,77.46,1.87,NORMAL
2026-09-01 13:50:00,Tractor_01,125.83,79.52,2.75,NORMAL
2026-09-01 14:00:00,Tractor_01,126.0,74.54,2.28,NORMAL
2026-09-01 14:10:00,Tractor_01,126.17,71.64,2.96,NORMAL
2026-09-01 14:20:00,Tractor_01,126.33,71.7,1.54,NORMAL
2026-09-01 14:30:00,Tractor_01,126.5,77.6,2.19,NORMAL
2026-09-01 14:40:00,Tractor_01,126.67,77.97,1.83,NORMAL
2026-09-01 14:50:00,Tractor_01,126.83,77.17,2.17,NORMAL
2026-09-01 15:00:00,Tractor_01,127.0,72.34,2.6,NORMAL
2026-09-01 15:10:00,Tractor_01,127.17,75.93,2.43,NORMAL
2026-09-01 15:20:00,Tractor_01,127.33,75.47,2.4,NORMAL
2026-09-01 15:30:00,Tractor_01,127.5,98.87,5.44,MAINTENANCE NEEDED
2026-09-01 15:40:00,Tractor_01,127.67,78.49,2.58,NORMAL
2026-09-01 15:50:00,Tractor_01,127.83,75.89,2.1,NORMAL
2026-09-01 16:00:00,Tractor_01,128.0,77.72,2.78,NORMAL
2026-09-01 16:10:00,Tractor_01,128.17,75.27,2.77,NORMAL
